Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,3,53-1000,Supervisors of Transportation and Material Moving Workers,180,190,10,5.6,60,140,210,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-1048,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling",180,190,10,5.6,60,140,210,29.000779941373487,60176.83396147404,High school diploma or equivalent,<5 years,No Training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,3,53-3000,Motor Vehicle Operators,3270,3440,170,5.2,1590,2280,4040,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-3021,"Bus Drivers, Transit and Intercity",150,160,10,6.7,120,80,210,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-3022,"Bus Drivers, School or Special Client",290,320,30,10.3,240,150,420,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-3032,Heavy and Tractor-Trailer Truck Drivers,1290,1290,0,0.0,530,940,1470,24.97,51940.0,Postsecondary non-degree award,≥5 years,Short-term on-the-job training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-3033,Light Truck or Delivery Services Drivers,1000,1080,80,8.0,430,750,1260,17.66,36728.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-3041,Taxi Drivers and Chauffeurs,240,290,50,20.8,140,140,330,29.000779941373487,60176.83396147404,No formal educational credential,≥5 years,Short-term on-the-job training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,3,53-5000,Water Transportation Workers,30,30,0,0.0,10,20,30,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,3,53-6000,Other Transportation Workers,340,410,70,20.6,150,260,480,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,3,53-7000,Material Moving Workers,2610,2690,80,3.1,1230,2370,3680,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-7032,Excavating and Loading Machine and Dragline Operators,110,120,10,9.1,40,90,140,29.000779941373487,60176.83396147404,High school diploma or equivalent,<5 years,Moderate-term on-the-job training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-7051,Industrial Truck and Tractor Operators,300,330,30,10.0,100,260,390,21.08,43852.0,No formal educational credential,≥5 years,Short-term on-the-job training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-7061,Cleaners of Vehicles and Equipment,260,270,10,3.8,130,250,390,14.7,30579.0,No formal educational credential,≥5 years,Short-term on-the-job training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",1240,1290,50,4.0,570,1190,1810,14.39,29936.0,No formal educational credential,≥5 years,Short-term on-the-job training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-7063,Machine Feeders and Offbearers,60,60,0,0.0,30,50,80,16.56,34447.0,No formal educational credential,≥5 years,Short-term on-the-job training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-7064,"Packers and Packagers, Hand",480,440,-40,-8.3,280,390,630,12.87,26763.0,No formal educational credential,≥5 years,Short-term on-the-job training
Consortium,"North Coast Region (Del Norte, Humboldt, Lake, and Mendocino Counties)",2018-2028,4,53-7081,Refuse and Recyclable Material Collectors,110,130,20,18.2,70,100,190,19.41,40368.0,No formal educational credential,≥5 years,Short-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,1,00-0000,"Total, All Occupations",116320,121480,5160,4.4,54210,86170,145540,19.63,40838.0,No information available,No Experience,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,2,11-0000,Management Occupations,10790,11250,460,4.3,4540,5380,10380,41.82,86989.0,No information available,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,3,11-1000,Top Executives,1940,2040,100,5.2,440,1240,1780,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-1011,Chief Executives,200,190,-10,-5.0,50,90,130,68.26,141978.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-1021,General and Operations Managers,1540,1650,110,7.1,340,1050,1500,44.28,92100.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-1031,Legislators,190,200,10,5.3,50,100,160,29.000779941373487,41255.0,Bachelor's degree,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",340,360,20,5.9,70,240,330,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-2021,Marketing Managers,30,30,0,0.0,10,20,30,53.41,111098.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-2022,Sales Managers,290,310,20,6.9,60,210,290,43.41,90308.0,Bachelor's degree,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,3,11-3000,Operations Specialties Managers,780,850,70,9.0,180,460,710,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-3011,Administrative Services Managers,150,150,0,0.0,40,80,120,29.000779941373487,60176.83396147404,Bachelor's degree,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-3021,Computer and Information Systems Managers,60,70,10,16.7,10,40,60,61.23,127358.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-3031,Financial Managers,290,330,40,13.8,70,170,280,46.03,95755.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-3051,Industrial Production Managers,90,100,10,11.1,20,50,80,41.13,85564.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-3071,"Transportation, Storage, and Distribution Managers",80,90,10,12.5,20,50,80,36.33,75555.0,High school diploma or equivalent,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-3121,Human Resources Managers,80,80,0,0.0,20,50,70,44.13,91784.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,3,11-9000,Other Management Occupations,7730,8000,270,3.5,3850,3440,7560,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",4970,4950,-20,-0.4,3080,1840,4900,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9021,Construction Managers,440,530,90,20.5,100,250,440,42.19,87742.0,Bachelor's degree,≥5 years,Moderate-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9031,"Education Administrators, Preschool and Childcare Center/Program",80,80,0,0.0,20,40,60,23.61,49104.0,Bachelor's degree,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9032,"Education Administrators, Elementary and Secondary School",280,300,20,7.1,80,150,250,29.000779941373487,100377.0,Master's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9033,"Education Administrators, Postsecondary",30,40,10,33.3,10,20,40,56.47,117451.0,Master's degree,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9039,"Education Administrators, All Other",30,30,0,0.0,10,20,30,43.16,89768.0,Bachelor's degree,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9041,Architectural and Engineering Managers,50,50,0,0.0,10,30,40,62.32,129628.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9051,Food Service Managers,230,240,10,4.3,70,200,280,25.48,53004.0,High school diploma or equivalent,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9081,Lodging Managers,100,100,0,0.0,30,70,100,26.08,54246.0,High school diploma or equivalent,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9111,Medical and Health Services Managers,240,320,80,33.3,70,160,310,52.66,109530.0,Bachelor's degree,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9121,Natural Sciences Managers,60,60,0,0.0,10,40,50,46.68,97089.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9131,Postmasters and Mail Superintendents,50,40,-10,-20.0,10,20,20,34.34,71422.0,High school diploma or equivalent,<5 years,Moderate-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9141,"Property, Real Estate, and Community Association Managers",220,230,10,4.5,80,90,180,20.25,42120.0,High school diploma or equivalent,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9151,Social and Community Service Managers,350,390,40,11.4,110,210,360,24.34,50621.0,Bachelor's degree,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,11-9199,"Managers, All Other",590,600,10,1.7,150,300,460,29.000779941373487,60176.83396147404,Bachelor's degree,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,2,13-0000,Business and Financial Operations Occupations,3540,3760,220,6.2,1030,2440,3690,30.54,63521.0,No information available,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,3,13-1000,Business Operations Specialists,2360,2510,150,6.4,690,1710,2550,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-1020,Buyers and Purchasing Agents,200,190,-10,-5.0,60,140,190,25.37,52770.0,Bachelor's degree,≥5 years,Moderate-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-1031,"Claims Adjusters, Examiners, and Investigators",30,30,0,0.0,10,20,30,34.04,70801.0,High school diploma or equivalent,≥5 years,Long-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-1041,Compliance Officers,140,140,0,0.0,40,80,120,30.08,62554.0,Bachelor's degree,≥5 years,Moderate-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-1051,Cost Estimators,110,110,0,0.0,30,80,110,30.41,63267.0,Bachelor's degree,≥5 years,Moderate-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-1071,Human Resources Specialists,220,230,10,4.5,60,170,240,29.57,61505.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-1081,Logisticians,70,70,0,0.0,20,50,70,34.85,72491.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-1111,Management Analysts,350,400,50,14.3,120,240,410,34.86,72511.0,Bachelor's degree,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-1121,"Meeting, Convention, and Event Planners",140,160,20,14.3,50,120,190,21.47,44665.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-1131,Fundraisers,40,50,10,25.0,10,30,50,23.37,48595.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-1151,Training and Development Specialists,60,60,0,0.0,20,50,70,26.46,55030.0,Bachelor's degree,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-1161,Market Research Analysts and Marketing Specialists,190,230,40,21.1,50,170,260,23.26,48392.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-1199,"Business Operations Specialists, All Other",770,800,30,3.9,210,540,780,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,3,13-2000,Financial Specialists,1180,1250,70,5.9,340,730,1140,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-2011,Accountants and Auditors,650,690,40,6.2,190,440,670,31.55,65629.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-2021,Appraisers and Assessors of Real Estate,120,130,10,8.3,40,50,100,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,Long-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-2031,Budget Analysts,50,50,0,0.0,10,20,30,36.96,76879.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-2051,Financial Analysts,30,30,0,0.0,10,20,30,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-2052,Personal Financial Advisors,60,70,10,16.7,20,40,70,19.48,40511.0,Bachelor's degree,≥5 years,Long-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-2061,Financial Examiners,50,50,0,0.0,10,30,40,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,Long-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-2072,Loan Officers,110,110,0,0.0,30,70,100,43.05,89544.0,Bachelor's degree,≥5 years,Moderate-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-2082,Tax Preparers,40,40,0,0.0,20,30,50,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,13-2099,"Financial Specialists, All Other",40,30,-10,-25.0,10,20,20,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,Moderate-term on-the-job training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,2,15-0000,Computer and Mathematical Occupations,770,840,70,9.1,140,460,670,35.43,73708.0,No information available,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,3,15-1100,Computer Occupations,740,790,50,6.8,130,440,620,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,15-1121,Computer Systems Analysts,120,130,10,8.3,20,70,100,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,15-1132,"Software Developers, Applications",90,100,10,11.1,10,50,70,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,15-1133,"Software Developers, Systems Software",30,30,0,0.0,0,20,20,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,15-1134,Web Developers,60,70,10,16.7,10,40,60,29.000779941373487,60176.83396147404,Associate's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,15-1142,Network and Computer Systems Administrators,60,70,10,16.7,10,40,60,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,15-1151,Computer User Support Specialists,160,170,10,6.3,30,110,150,29.000779941373487,60176.83396147404,"Some college, no degree",≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,15-1152,Computer Network Support Specialists,40,40,0,0.0,10,30,40,29.000779941373487,60176.83396147404,Associate's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,15-1199,"Computer Occupations, All Other",130,140,10,7.7,20,80,110,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,3,15-2000,Mathematical Science Occupations,40,50,10,25.0,10,20,40,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,15-2041,Statisticians,30,30,0,0.0,10,20,30,29.000779941373487,60176.83396147404,Master's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,2,17-0000,Architecture and Engineering Occupations,690,720,30,4.3,180,400,610,35.98,74831.0,No information available,<5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,3,17-1000,"Architects, Surveyors, and Cartographers",120,130,10,8.3,30,60,100,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,17-1011,"Architects, Except Landscape and Naval",70,70,0,0.0,20,40,60,36.76,76466.0,Bachelor's degree,≥5 years,Internship/residency
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,17-1022,Surveyors,40,40,0,0.0,10,20,30,34.56,71879.0,Bachelor's degree,≥5 years,Internship/residency
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,3,17-2000,Engineers,310,330,20,6.5,70,160,250,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,17-2051,Civil Engineers,120,130,10,8.3,30,70,110,45.81,95281.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,17-2071,Electrical Engineers,30,30,0,0.0,10,10,20,56.13,116741.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,17-2112,Industrial Engineers,30,30,0,0.0,10,10,20,32.83,68284.0,Bachelor's degree,≥5 years,No Training
Consortium,"North Valley-Northern Mountains Region (Colusa, Glenn, Lassen, Modoc, Nevada, Plumas, Sierra, Siskiyou, Tehama, and Trinity Counties)",2018-2028,4,17-2141,Mechanical Engineers,30,30,0,0.0,10,10,20,36.68,76282.0,Bachelor's degree,≥5 years,No Training
